length,width,contrast,dissimilarity,homogenity,energy,correlation,ASM,R,G,B,H,S,V,grey,l,A,V,roundness,solidity,sf1,sf2,sf3,Area,category
0.987920675,0.29384529,134.498777,5.59022694,0.398697262,0.135013707,0.883362054,0.018536823,145,115,123,114,66,148,126.5795848,132,143,123,1.797544882,0.000140516,4.786007916,1.423541301,0.905812266,0.206418521,121
0.953640246,0.291349542,130.7487833,5.546370715,0.394518116,0.125124962,0.89012579,0.015969649,144,115,122,116,67,148,126.2877739,132,143,122,1.816737294,0.000137488,4.963264007,1.516341933,0.880944659,0.192139738,121
1.131314097,0.302598746,147.9031295,6.023667299,0.384626864,0.1271572,0.871690414,0.016422932,143,113,124,111,69,146,124.2568243,130,143,124,1.915687552,0.000141886,4.683348201,1.252680662,0.89889046,0.241560962,121
1.139156934,0.296063151,167.2078607,6.36194282,0.405377215,0.150348689,0.87680114,0.022892497,152,121,123,117,66,154,132.4480969,138,143,123,2.473482236,0.000179202,5.20412194,1.352534225,0.826796295,0.218895127,121
0.954967735,0.28936708,73.07069231,4.150322908,0.44771416,0.176110881,0.937842305,0.031308597,146,117,122,117,66,150,128.1318724,134,143,122,1.815511549,0.000139252,5.136957313,1.556561845,0.856989032,0.185901435,121
0.999817688,0.296908687,144.5623361,5.795238404,0.385550189,0.12900484,0.894329652,0.016862143,146,115,122,117,66,149,127.2095945,133,143,122,1.840827839,0.000142291,4.884649435,1.450559305,0.87836301,0.204685659,121
0.996620493,0.292039573,151.1058216,5.936222289,0.398545124,0.132828738,0.883905593,0.017997111,145,115,123,117,69,148,126.5916955,132,143,123,1.809781144,0.00014211,4.892223154,1.433567513,0.891625293,0.203715256,121
1.030001456,0.28542209,141.543748,5.849021781,0.386917516,0.132507016,0.886924179,0.017891844,144,113,123,114,69,147,125.0582468,131,143,123,1.844844806,0.00014165,4.730923595,1.310978828,0.943402074,0.217716781,121
1.110107419,0.307855868,154.7757651,6.302706726,0.352061259,0.098529675,0.876818974,0.010028912,145,114,125,110,72,147,125.337178,131,143,125,1.888544022,0.000132275,4.808021535,1.333364337,0.860630045,0.230886532,121
1.067230425,0.297831746,163.9317623,6.349523095,0.375586287,0.122290749,0.88645683,0.01532113,145,114,124,113,72,147,125.5082661,131,143,124,1.857690854,0.000139068,4.858609447,1.355891009,0.880333776,0.219657586,121
1.081631592,0.322024189,146.8657013,5.994295542,0.388715486,0.141824709,0.905614791,0.020376105,143,110,125,109,78,146,122.0792003,128,144,125,1.781202579,0.000143355,4.396928424,1.30905691,0.899689086,0.245997089,121
1.055888047,0.310555308,164.2889911,6.480520591,0.362947104,0.111700493,0.885170229,0.012779365,144,112,125,112,72,146,123.8123799,129,143,125,1.713227126,0.000141628,4.543184268,1.336230667,0.902882083,0.232411451,121
0.931665924,0.298133096,145.7230285,5.610211132,0.427379581,0.170932621,0.907431876,0.029512286,143,113,122,118,69,147,124.8465639,130,143,122,1.692194625,0.000143937,4.812439771,1.539980727,0.887881172,0.193595342,121
0.939086251,0.309279887,131.2670474,5.375135516,0.414493583,0.15626725,0.895647091,0.024777602,145,115,122,117,67,148,126.538639,132,143,122,1.74052781,0.000139032,4.914108574,1.61841891,0.838173483,0.191100021,121
1.055888047,0.298133096,155.7052114,6.105295227,0.367300505,0.116828961,0.89364396,0.013997554,142,112,123,111,69,146,123.7500476,129,143,123,1.84131888,0.000139125,4.522950371,1.27706834,0.944709606,0.233451168,121
0.966617328,0.258933781,128.528019,5.253788749,0.426564838,0.169365937,0.880673765,0.029147967,147,118,121,121,64,151,129.4707805,135,143,121,1.981051777,0.000135802,5.805740293,1.555219673,0.847391349,0.16649338,121
1.031043622,0.285710883,113.438551,5.010057285,0.437608665,0.177236002,0.908036618,0.031710379,146,115,123,115,71,149,126.5206549,132,143,123,1.803085813,0.000142088,4.959942093,1.374441785,0.898932233,0.207874125,121
0.995613515,0.279152904,122.5398818,5.37278004,0.389330827,0.123142993,0.901438088,0.015372267,147,118,121,122,63,150,129.6428297,135,143,121,1.906633263,0.000145116,5.26336247,1.475756303,0.86701161,0.189159215,121
1.037415343,0.278864866,108.3942142,4.956189874,0.430833274,0.160461938,0.910730677,0.025994412,145,115,122,118,67,148,126.3365696,132,143,122,1.935101764,0.000144939,5.130884867,1.379219549,0.890316192,0.202190338,121
1.055888047,0.298133096,154.032251,6.048603929,0.369366844,0.112399479,0.887952344,0.012939749,146,114,125,111,74,148,125.6245675,131,144,125,1.891582282,0.000140041,4.799400394,1.355124817,0.890293435,0.220004159,121
